,Zip Code,Total Households,$0 - $10k,$10k - $15k,$15k - $25k,$25k - $35k,$35k - $50k,$50k - $75k,$75k - $100k,$100k - $150k,$150k - $200k,$200k+,Median Income,Mean Income
0,94002,10854,271,379,358,303,325,781,575,1443,1204,5209,184929,238074
1,94005,1902,62,0,30,0,273,207,148,306,176,696,137583,252170
2,94010,16070,449,128,369,401,723,1237,1189,2024,1976,7568,186198,297111
3,94014,14014,518,462,728,700,1065,1345,1597,2662,2298,2648,111795,134129
4,94015,20476,716,429,798,839,1126,2109,2600,4136,2743,4975,117289,147777
5,94018,1366,0,16,12,40,106,72,75,210,64,767,215439,247313
6,94019,5548,149,116,116,194,305,349,399,1176,699,2041,149655,214468
7,94020,844,32,0,43,10,0,37,27,47,30,616,250000,269305
8,94021,61,0,0,0,0,0,0,0,0,10,50,201950,308830
9,94025,14349,301,186,286,401,660,903,803,1965,1564,7274,207656,324294
10,94027,2192,48,59,21,19,50,74,41,227,153,1494,250000,595736
11,94028,2575,28,0,82,64,56,74,162,345,267,1493,243516,415955
12,94030,8074,258,201,411,242,484,629,662,1283,1089,2817,146649,197056
13,94037,1033,0,0,0,0,0,61,133,149,211,476,184692,256598
14,94038,1087,0,85,45,0,28,183,156,175,67,344,116950,152729
15,94044,13951,306,209,390,446,599,1590,1227,2134,2455,4589,151680,178377
16,94060,362,0,19,0,27,31,43,56,86,27,69,105909,123233
17,94061,13176,171,92,329,276,1119,1950,1080,1989,1475,4690,139810,199560
18,94062,9679,193,203,203,174,203,609,590,1045,1045,5400,230391,345497
19,94063,10969,252,219,471,614,1009,1382,1338,1787,1404,2500,107734,158651
20,94065,4659,107,79,125,93,288,139,195,731,507,2390,201125,256426
21,94066,15169,364,227,455,500,834,1744,1623,2684,2457,4262,131669,161826
22,94070,11627,232,81,220,244,360,813,627,1767,1081,6208,220323,299594
23,94074,68,0,0,0,14,0,11,0,32,0,11,143203,277646
24,94080,22220,644,399,755,977,1266,2288,2488,4044,2977,6421,126916,166271
25,94401,12993,467,272,701,519,1143,1364,1130,2130,2078,3196,117678,154335
26,94402,10073,251,130,130,241,483,856,785,1551,936,4704,184453,262261
27,94403,16612,548,116,514,531,863,1212,1162,2475,2275,6927,171213,218114
28,94404,14371,301,229,316,388,617,934,1034,2083,2011,6466,182699,226608
